"kooskolastaja";"tahtaeg";"vastamisaeg";"markused";"aktinimi";"link"
"Majandus- ja Kommunikatsiooniministeerium";"Tähtaeg: 05.05.2016 23:59";"Edastatud";"";"Ülikooliseaduse, rakenduskõrgkooli seaduse ja teiste seaduste muutmise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/554a7800-f7ca-428e-b7d1-ed54265ab7a9?activity=1"
"Keskkonnaministeerium";"Tähtaeg: 05.05.2016 23:59";"Edastatud";"";"Ülikooliseaduse, rakenduskõrgkooli seaduse ja teiste seaduste muutmise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/554a7800-f7ca-428e-b7d1-ed54265ab7a9?activity=1"
"Välisministeerium";"Tähtaeg: 05.05.2016 23:59";"Edastatud";"";"Ülikooliseaduse, rakenduskõrgkooli seaduse ja teiste seaduste muutmise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/554a7800-f7ca-428e-b7d1-ed54265ab7a9?activity=1"
"Kaitseministeerium";"Tähtaeg: 09.05.2016 23:59";"Edastatud";"";"UNESCO veealuse kultuuripärandi kaitse konventsiooni ratifitseerimise seaduse eelnõu";"https://eelnoud.valitsus.ee/main/mount/docList/aee81188-282b-4b84-890b-ac3959159ec8?activity=1"
"Haridus- ja Teadusministeerium";"Tähtaeg: 09.05.2016 23:59";"Edastatud";"";"UNESCO veealuse kultuuripärandi kaitse konventsiooni ratifitseerimise seaduse eelnõu";"https://eelnoud.valitsus.ee/main/mount/docList/aee81188-282b-4b84-890b-ac3959159ec8?activity=1"
"Rahandusministeerium";"Tähtaeg: 09.05.2016 23:59";"Edastatud";"";"UNESCO veealuse kultuuripärandi kaitse konventsiooni ratifitseerimise seaduse eelnõu";"https://eelnoud.valitsus.ee/main/mount/docList/aee81188-282b-4b84-890b-ac3959159ec8?activity=1"
"Maaeluministeerium";"Tähtaeg: 09.05.2016 23:59";"Edastatud";"";"UNESCO veealuse kultuuripärandi kaitse konventsiooni ratifitseerimise seaduse eelnõu";"https://eelnoud.valitsus.ee/main/mount/docList/aee81188-282b-4b84-890b-ac3959159ec8?activity=1"
"Sotsiaalministeerium";"Tähtaeg: 09.05.2016 23:59";"Edastatud";"";"UNESCO veealuse kultuuripärandi kaitse konventsiooni ratifitseerimise seaduse eelnõu";"https://eelnoud.valitsus.ee/main/mount/docList/aee81188-282b-4b84-890b-ac3959159ec8?activity=1"
"Siseministeerium";"Tähtaeg: 09.05.2016 23:59";"Edastatud";"";"UNESCO veealuse kultuuripärandi kaitse konventsiooni ratifitseerimise seaduse eelnõu";"https://eelnoud.valitsus.ee/main/mount/docList/aee81188-282b-4b84-890b-ac3959159ec8?activity=1"
"Majandus- ja Kommunikatsiooniministeerium";"Tähtaeg: 09.05.2016 23:59";"Edastatud";"";"UNESCO veealuse kultuuripärandi kaitse konventsiooni ratifitseerimise seaduse eelnõu";"https://eelnoud.valitsus.ee/main/mount/docList/aee81188-282b-4b84-890b-ac3959159ec8?activity=1"
"Keskkonnaministeerium";"Tähtaeg: 09.05.2016 23:59";"Edastatud";"";"UNESCO veealuse kultuuripärandi kaitse konventsiooni ratifitseerimise seaduse eelnõu";"https://eelnoud.valitsus.ee/main/mount/docList/aee81188-282b-4b84-890b-ac3959159ec8?activity=1"
"Välisministeerium";"Tähtaeg: 09.05.2016 23:59";"Edastatud";"";"UNESCO veealuse kultuuripärandi kaitse konventsiooni ratifitseerimise seaduse eelnõu";"https://eelnoud.valitsus.ee/main/mount/docList/aee81188-282b-4b84-890b-ac3959159ec8?activity=1"
"Rahandusministeerium";"Tähtaeg: 11.05.2016 23:59";"Edastatud";"";"Eesti spordimuuseum";"https://eelnoud.valitsus.ee/main/mount/docList/874a3e4f-ad1b-45b4-b098-ba71f6749964?activity=1"
"Kaitseministeerium";"Tähtaeg: 04.05.2016 23:59";"Edastatud";"";"Avaliku sektori kohaliku omavalitsuse allsektori hoonetes energiatõhususe ja taastuvenergia kasutuse edendamise toetuse kasutamise tingimused ja kord";"https://eelnoud.valitsus.ee/main/mount/docList/714721ee-e37d-49b2-80b4-62aa97882014?activity=1"
"Haridus- ja Teadusministeerium";"Tähtaeg: 04.05.2016 23:59";"Edastatud";"";"Avaliku sektori kohaliku omavalitsuse allsektori hoonetes energiatõhususe ja taastuvenergia kasutuse edendamise toetuse kasutamise tingimused ja kord";"https://eelnoud.valitsus.ee/main/mount/docList/714721ee-e37d-49b2-80b4-62aa97882014?activity=1"
"Eesti Maaomavalitsuste Liit";"Tähtaeg: 04.05.2016 23:59";"Edastatud";"";"Avaliku sektori kohaliku omavalitsuse allsektori hoonetes energiatõhususe ja taastuvenergia kasutuse edendamise toetuse kasutamise tingimused ja kord";"https://eelnoud.valitsus.ee/main/mount/docList/714721ee-e37d-49b2-80b4-62aa97882014?activity=1"
"Justiitsministeerium";"Tähtaeg: 04.05.2016 23:59";"Edastatud";"";"Avaliku sektori kohaliku omavalitsuse allsektori hoonetes energiatõhususe ja taastuvenergia kasutuse edendamise toetuse kasutamise tingimused ja kord";"https://eelnoud.valitsus.ee/main/mount/docList/714721ee-e37d-49b2-80b4-62aa97882014?activity=1"
"Maaeluministeerium";"Tähtaeg: 04.05.2016 23:59";"Edastatud";"";"Avaliku sektori kohaliku omavalitsuse allsektori hoonetes energiatõhususe ja taastuvenergia kasutuse edendamise toetuse kasutamise tingimused ja kord";"https://eelnoud.valitsus.ee/main/mount/docList/714721ee-e37d-49b2-80b4-62aa97882014?activity=1"
"Kultuuriministeerium";"Tähtaeg: 04.05.2016 23:59";"Edastatud";"";"Avaliku sektori kohaliku omavalitsuse allsektori hoonetes energiatõhususe ja taastuvenergia kasutuse edendamise toetuse kasutamise tingimused ja kord";"https://eelnoud.valitsus.ee/main/mount/docList/714721ee-e37d-49b2-80b4-62aa97882014?activity=1"
"Sotsiaalministeerium";"Tähtaeg: 04.05.2016 23:59";"Edastatud";"";"Avaliku sektori kohaliku omavalitsuse allsektori hoonetes energiatõhususe ja taastuvenergia kasutuse edendamise toetuse kasutamise tingimused ja kord";"https://eelnoud.valitsus.ee/main/mount/docList/714721ee-e37d-49b2-80b4-62aa97882014?activity=1"
"Siseministeerium";"Tähtaeg: 04.05.2016 23:59";"Edastatud";"";"Avaliku sektori kohaliku omavalitsuse allsektori hoonetes energiatõhususe ja taastuvenergia kasutuse edendamise toetuse kasutamise tingimused ja kord";"https://eelnoud.valitsus.ee/main/mount/docList/714721ee-e37d-49b2-80b4-62aa97882014?activity=1"
"Majandus- ja Kommunikatsiooniministeerium";"Tähtaeg: 04.05.2016 23:59";"Edastatud";"";"Avaliku sektori kohaliku omavalitsuse allsektori hoonetes energiatõhususe ja taastuvenergia kasutuse edendamise toetuse kasutamise tingimused ja kord";"https://eelnoud.valitsus.ee/main/mount/docList/714721ee-e37d-49b2-80b4-62aa97882014?activity=1"
"Keskkonnaministeerium";"Tähtaeg: 04.05.2016 23:59";"Edastatud";"";"Avaliku sektori kohaliku omavalitsuse allsektori hoonetes energiatõhususe ja taastuvenergia kasutuse edendamise toetuse kasutamise tingimused ja kord";"https://eelnoud.valitsus.ee/main/mount/docList/714721ee-e37d-49b2-80b4-62aa97882014?activity=1"
"Eesti Linnade Liit";"Tähtaeg: 04.05.2016 23:59";"Edastatud";"";"Avaliku sektori kohaliku omavalitsuse allsektori hoonetes energiatõhususe ja taastuvenergia kasutuse edendamise toetuse kasutamise tingimused ja kord";"https://eelnoud.valitsus.ee/main/mount/docList/714721ee-e37d-49b2-80b4-62aa97882014?activity=1"
"Välisministeerium";"Tähtaeg: 04.05.2016 23:59";"Edastatud";"";"Avaliku sektori kohaliku omavalitsuse allsektori hoonetes energiatõhususe ja taastuvenergia kasutuse edendamise toetuse kasutamise tingimused ja kord";"https://eelnoud.valitsus.ee/main/mount/docList/714721ee-e37d-49b2-80b4-62aa97882014?activity=1"
"Kaitseministeerium";"Tähtaeg: 27.04.2016 23:59";"Tähtaeg ületatud";"";"Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seaduse muutmise ning ravimiseaduse täiendamise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/16a0e6ae-81c4-4ff7-9d56-c26de2ec4f59?activity=2"
"Haridus- ja Teadusministeerium";"Tähtaeg: 27.04.2016 23:59";"Tähtaeg ületatud";"";"Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seaduse muutmise ning ravimiseaduse täiendamise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/16a0e6ae-81c4-4ff7-9d56-c26de2ec4f59?activity=2"
"Rahandusministeerium";"Tähtaeg: 27.04.2016 23:59";"Tähtaeg ületatud";"";"Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seaduse muutmise ning ravimiseaduse täiendamise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/16a0e6ae-81c4-4ff7-9d56-c26de2ec4f59?activity=2"
"Maaeluministeerium";"Tähtaeg: 27.04.2016 23:59";"Tähtaeg ületatud";"";"Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seaduse muutmise ning ravimiseaduse täiendamise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/16a0e6ae-81c4-4ff7-9d56-c26de2ec4f59?activity=2"
"Kultuuriministeerium";"Tähtaeg: 27.04.2016 23:59";"Tähtaeg ületatud";"";"Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seaduse muutmise ning ravimiseaduse täiendamise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/16a0e6ae-81c4-4ff7-9d56-c26de2ec4f59?activity=2"
"Siseministeerium";"Tähtaeg: 27.04.2016 23:59";"Vastatud: 26.04.2016 13:57";"Kooskõlastatud märkustega";"Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seaduse muutmise ning ravimiseaduse täiendamise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/16a0e6ae-81c4-4ff7-9d56-c26de2ec4f59?activity=2"
"Majandus- ja Kommunikatsiooniministeerium";"Tähtaeg: 27.04.2016 23:59";"Tähtaeg ületatud";"";"Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seaduse muutmise ning ravimiseaduse täiendamise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/16a0e6ae-81c4-4ff7-9d56-c26de2ec4f59?activity=2"
"Keskkonnaministeerium";"Tähtaeg: 27.04.2016 23:59";"Tähtaeg ületatud";"";"Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seaduse muutmise ning ravimiseaduse täiendamise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/16a0e6ae-81c4-4ff7-9d56-c26de2ec4f59?activity=2"
"Välisministeerium";"Tähtaeg: 27.04.2016 23:59";"Tähtaeg ületatud";"";"Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seaduse muutmise ning ravimiseaduse täiendamise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/16a0e6ae-81c4-4ff7-9d56-c26de2ec4f59?activity=2"
"Justiitsministeerium";"Tähtaeg: 18.05.2016 23:59";"Edastatud";"";"Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seaduse muutmise ning ravimiseaduse täiendamise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/16a0e6ae-81c4-4ff7-9d56-c26de2ec4f59?activity=2"
"Kaitseministeerium";"Tähtaeg: 27.04.2016 23:59";"Tähtaeg ületatud";"";"Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seaduse muutmise ning ravimiseaduse täiendamise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/16a0e6ae-81c4-4ff7-9d56-c26de2ec4f59?activity=1"
"Haridus- ja Teadusministeerium";"Tähtaeg: 27.04.2016 23:59";"Tähtaeg ületatud";"";"Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seaduse muutmise ning ravimiseaduse täiendamise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/16a0e6ae-81c4-4ff7-9d56-c26de2ec4f59?activity=1"
"Rahandusministeerium";"Tähtaeg: 27.04.2016 23:59";"Tähtaeg ületatud";"";"Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seaduse muutmise ning ravimiseaduse täiendamise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/16a0e6ae-81c4-4ff7-9d56-c26de2ec4f59?activity=1"
"Maaeluministeerium";"Tähtaeg: 27.04.2016 23:59";"Tähtaeg ületatud";"";"Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seaduse muutmise ning ravimiseaduse täiendamise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/16a0e6ae-81c4-4ff7-9d56-c26de2ec4f59?activity=1"
"Kultuuriministeerium";"Tähtaeg: 27.04.2016 23:59";"Tähtaeg ületatud";"";"Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seaduse muutmise ning ravimiseaduse täiendamise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/16a0e6ae-81c4-4ff7-9d56-c26de2ec4f59?activity=1"
"Siseministeerium";"Tähtaeg: 27.04.2016 23:59";"Vastatud: 26.04.2016 13:57";"Kooskõlastatud märkustega";"Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seaduse muutmise ning ravimiseaduse täiendamise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/16a0e6ae-81c4-4ff7-9d56-c26de2ec4f59?activity=1"
"Majandus- ja Kommunikatsiooniministeerium";"Tähtaeg: 27.04.2016 23:59";"Tähtaeg ületatud";"";"Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seaduse muutmise ning ravimiseaduse täiendamise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/16a0e6ae-81c4-4ff7-9d56-c26de2ec4f59?activity=1"
"Keskkonnaministeerium";"Tähtaeg: 27.04.2016 23:59";"Tähtaeg ületatud";"";"Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seaduse muutmise ning ravimiseaduse täiendamise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/16a0e6ae-81c4-4ff7-9d56-c26de2ec4f59?activity=1"
"Välisministeerium";"Tähtaeg: 27.04.2016 23:59";"Tähtaeg ületatud";"";"Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seaduse muutmise ning ravimiseaduse täiendamise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/16a0e6ae-81c4-4ff7-9d56-c26de2ec4f59?activity=1"
"Justiitsministeerium";"Tähtaeg: 18.05.2016 23:59";"Edastatud";"";"Rakkude, kudede ja elundite hankimise, käitlemise ja siirdamise seaduse muutmise ning ravimiseaduse täiendamise seadus";"https://eelnoud.valitsus.ee/main/mount/docList/16a0e6ae-81c4-4ff7-9d56-c26de2ec4f59?activity=1"
"Justiitsministeerium";"Tähtaeg: 04.05.2016 23:59";"Edastatud";"";"Rahvusvahelise Kriminaalkohtu Rooma
statuudi 26. novembril 2015. aastal Haagis toimunud liikmesriikide assamblee 14.
istungijärgul tehtud muudatuse ratifitseerimise seaduse eelnõu";"https://eelnoud.valitsus.ee/main/mount/docList/0332de80-c0a3-4f6e-9ece-8ebcebd0d3cf?activity=1"
"Kaitseministeerium";"Tähtaeg: 06.05.2016 23:59";"Edastatud";"";"Euroopa Liidu ja selle liikmesriikide ning SADC riikide vahelise majanduspartnerluslepingu eelnõu heakskiitmine ja volituse andmine";"https://eelnoud.valitsus.ee/main/mount/docList/fdf530e7-cd7c-4503-9f12-846c0d7638f9?activity=1"
"Haridus- ja Teadusministeerium";"Tähtaeg: 06.05.2016 23:59";"Edastatud";"";"Euroopa Liidu ja selle liikmesriikide ning SADC riikide vahelise majanduspartnerluslepingu eelnõu heakskiitmine ja volituse andmine";"https://eelnoud.valitsus.ee/main/mount/docList/fdf530e7-cd7c-4503-9f12-846c0d7638f9?activity=1"
"Rahandusministeerium";"Tähtaeg: 06.05.2016 23:59";"Edastatud";"";"Euroopa Liidu ja selle liikmesriikide ning SADC riikide vahelise majanduspartnerluslepingu eelnõu heakskiitmine ja volituse andmine";"https://eelnoud.valitsus.ee/main/mount/docList/fdf530e7-cd7c-4503-9f12-846c0d7638f9?activity=1"
"Justiitsministeerium";"Tähtaeg: 06.05.2016 23:59";"Edastatud";"";"Euroopa Liidu ja selle liikmesriikide ning SADC riikide vahelise majanduspartnerluslepingu eelnõu heakskiitmine ja volituse andmine";"https://eelnoud.valitsus.ee/main/mount/docList/fdf530e7-cd7c-4503-9f12-846c0d7638f9?activity=1"
"Maaeluministeerium";"Tähtaeg: 06.05.2016 23:59";"Edastatud";"";"Euroopa Liidu ja selle liikmesriikide ning SADC riikide vahelise majanduspartnerluslepingu eelnõu heakskiitmine ja volituse andmine";"https://eelnoud.valitsus.ee/main/mount/docList/fdf530e7-cd7c-4503-9f12-846c0d7638f9?activity=1"
"Kultuuriministeerium";"Tähtaeg: 06.05.2016 23:59";"Edastatud";"";"Euroopa Liidu ja selle liikmesriikide ning SADC riikide vahelise majanduspartnerluslepingu eelnõu heakskiitmine ja volituse andmine";"https://eelnoud.valitsus.ee/main/mount/docList/fdf530e7-cd7c-4503-9f12-846c0d7638f9?activity=1"
"Sotsiaalministeerium";"Tähtaeg: 06.05.2016 23:59";"Edastatud";"";"Euroopa Liidu ja selle liikmesriikide ning SADC riikide vahelise majanduspartnerluslepingu eelnõu heakskiitmine ja volituse andmine";"https://eelnoud.valitsus.ee/main/mount/docList/fdf530e7-cd7c-4503-9f12-846c0d7638f9?activity=1"
"Siseministeerium";"Tähtaeg: 06.05.2016 23:59";"Edastatud";"";"Euroopa Liidu ja selle liikmesriikide ning SADC riikide vahelise majanduspartnerluslepingu eelnõu heakskiitmine ja volituse andmine";"https://eelnoud.valitsus.ee/main/mount/docList/fdf530e7-cd7c-4503-9f12-846c0d7638f9?activity=1"
"Majandus- ja Kommunikatsiooniministeerium";"Tähtaeg: 06.05.2016 23:59";"Edastatud";"";"Euroopa Liidu ja selle liikmesriikide ning SADC riikide vahelise majanduspartnerluslepingu eelnõu heakskiitmine ja volituse andmine";"https://eelnoud.valitsus.ee/main/mount/docList/fdf530e7-cd7c-4503-9f12-846c0d7638f9?activity=1"
"Keskkonnaministeerium";"Tähtaeg: 06.05.2016 23:59";"Edastatud";"";"Euroopa Liidu ja selle liikmesriikide ning SADC riikide vahelise majanduspartnerluslepingu eelnõu heakskiitmine ja volituse andmine";"https://eelnoud.valitsus.ee/main/mount/docList/fdf530e7-cd7c-4503-9f12-846c0d7638f9?activity=1"
"Kaitseministeerium";"Tähtaeg: 10.12.2015 23:59";"Tähtaeg ületatud";"";"Vabariigi Valitsuse 18. märtsi 2004. a määruse nr 75 „Raudteeliikluse olulise piiramise ja ajutise sulgemise kord“ muutmine";"https://eelnoud.valitsus.ee/main/mount/docList/fb054575-7830-48d7-aeaf-b64e8d8b67ab?activity=1"
"Haridus- ja Teadusministeerium";"Tähtaeg: 10.12.2015 23:59";"Tähtaeg ületatud";"";"Vabariigi Valitsuse 18. märtsi 2004. a määruse nr 75 „Raudteeliikluse olulise piiramise ja ajutise sulgemise kord“ muutmine";"https://eelnoud.valitsus.ee/main/mount/docList/fb054575-7830-48d7-aeaf-b64e8d8b67ab?activity=1"
"Rahandusministeerium";"Tähtaeg: 10.12.2015 23:59";"Vastatud: 17.12.2015 08:25";"Kooskõlastatud";"Vabariigi Valitsuse 18. märtsi 2004. a määruse nr 75 „Raudteeliikluse olulise piiramise ja ajutise sulgemise kord“ muutmine";"https://eelnoud.valitsus.ee/main/mount/docList/fb054575-7830-48d7-aeaf-b64e8d8b67ab?activity=1"
"Justiitsministeerium";"Tähtaeg: 10.12.2015 23:59";"Tähtaeg ületatud";"";"Vabariigi Valitsuse 18. märtsi 2004. a määruse nr 75 „Raudteeliikluse olulise piiramise ja ajutise sulgemise kord“ muutmine";"https://eelnoud.valitsus.ee/main/mount/docList/fb054575-7830-48d7-aeaf-b64e8d8b67ab?activity=1"
"Maaeluministeerium";"Tähtaeg: 10.12.2015 23:59";"Tähtaeg ületatud";"";"Vabariigi Valitsuse 18. märtsi 2004. a määruse nr 75 „Raudteeliikluse olulise piiramise ja ajutise sulgemise kord“ muutmine";"https://eelnoud.valitsus.ee/main/mount/docList/fb054575-7830-48d7-aeaf-b64e8d8b67ab?activity=1"
"Kultuuriministeerium";"Tähtaeg: 10.12.2015 23:59";"Vastatud: 20.11.2015 16:38";"Kooskõlastatud";"Vabariigi Valitsuse 18. märtsi 2004. a määruse nr 75 „Raudteeliikluse olulise piiramise ja ajutise sulgemise kord“ muutmine";"https://eelnoud.valitsus.ee/main/mount/docList/fb054575-7830-48d7-aeaf-b64e8d8b67ab?activity=1"
"Sotsiaalministeerium";"Tähtaeg: 10.12.2015 23:59";"Tähtaeg ületatud";"";"Vabariigi Valitsuse 18. märtsi 2004. a määruse nr 75 „Raudteeliikluse olulise piiramise ja ajutise sulgemise kord“ muutmine";"https://eelnoud.valitsus.ee/main/mount/docList/fb054575-7830-48d7-aeaf-b64e8d8b67ab?activity=1"
"Siseministeerium";"Tähtaeg: 10.12.2015 23:59";"Tähtaeg ületatud";"";"Vabariigi Valitsuse 18. märtsi 2004. a määruse nr 75 „Raudteeliikluse olulise piiramise ja ajutise sulgemise kord“ muutmine";"https://eelnoud.valitsus.ee/main/mount/docList/fb054575-7830-48d7-aeaf-b64e8d8b67ab?activity=1"
"Keskkonnaministeerium";"Tähtaeg: 10.12.2015 23:59";"Tähtaeg ületatud";"";"Vabariigi Valitsuse 18. märtsi 2004. a määruse nr 75 „Raudteeliikluse olulise piiramise ja ajutise sulgemise kord“ muutmine";"https://eelnoud.valitsus.ee/main/mount/docList/fb054575-7830-48d7-aeaf-b64e8d8b67ab?activity=1"
"Välisministeerium";"Tähtaeg: 10.12.2015 23:59";"Tähtaeg ületatud";"";"Vabariigi Valitsuse 18. märtsi 2004. a määruse nr 75 „Raudteeliikluse olulise piiramise ja ajutise sulgemise kord“ muutmine";"https://eelnoud.valitsus.ee/main/mount/docList/fb054575-7830-48d7-aeaf-b64e8d8b67ab?activity=1"
"Kaitseministeerium";"Tähtaeg: 02.05.2016 23:59";"Tähtaeg ületatud";"";"Montenegro ühinemist käsitleva Põhja-Atlandi lepingu protokolli eelnõu heakskiitmine ja volituse andmine";"https://eelnoud.valitsus.ee/main/mount/docList/e6585720-ea07-4feb-b23e-b91d0c40d7d9?activity=1"
"Rahandusministeerium";"Tähtaeg: 02.05.2016 23:59";"Tähtaeg ületatud";"";"Montenegro ühinemist käsitleva Põhja-Atlandi lepingu protokolli eelnõu heakskiitmine ja volituse andmine";"https://eelnoud.valitsus.ee/main/mount/docList/e6585720-ea07-4feb-b23e-b91d0c40d7d9?activity=1"
"Justiitsministeerium";"Tähtaeg: 02.05.2016 23:59";"Tähtaeg ületatud";"";"Montenegro ühinemist käsitleva Põhja-Atlandi lepingu protokolli eelnõu heakskiitmine ja volituse andmine";"https://eelnoud.valitsus.ee/main/mount/docList/e6585720-ea07-4feb-b23e-b91d0c40d7d9?activity=1"
"Siseministeerium";"Tähtaeg: 02.05.2016 23:59";"Tähtaeg ületatud";"";"Montenegro ühinemist käsitleva Põhja-Atlandi lepingu protokolli eelnõu heakskiitmine ja volituse andmine";"https://eelnoud.valitsus.ee/main/mount/docList/e6585720-ea07-4feb-b23e-b91d0c40d7d9?activity=1"
"Majandus- ja Kommunikatsiooniministeerium";"Tähtaeg: 02.05.2016 23:59";"Tähtaeg ületatud";"";"Montenegro ühinemist käsitleva Põhja-Atlandi lepingu protokolli eelnõu heakskiitmine ja volituse andmine";"https://eelnoud.valitsus.ee/main/mount/docList/e6585720-ea07-4feb-b23e-b91d0c40d7d9?activity=1"
"Justiitsministeerium";"Tähtaeg: 23.02.2016 23:59";"Vastatud: 10.03.2016 09:17";"Mitte kooskõlastatud";"Kogumispensionide seaduse ja investeerimisfondide seaduse muutmise seaduse eelnõu väljatöötamise kavatsus";"https://eelnoud.valitsus.ee/main/mount/docList/ae8d83e0-6314-4438-a50e-c2e8123d0107?activity=2"
"Riigikantselei";"Tähtaeg: 23.02.2016 23:59";"Tähtaeg ületatud";"";"Kogumispensionide seaduse ja investeerimisfondide seaduse muutmise seaduse eelnõu väljatöötamise kavatsus";"https://eelnoud.valitsus.ee/main/mount/docList/ae8d83e0-6314-4438-a50e-c2e8123d0107?activity=2"
"Sotsiaalministeerium";"Tähtaeg: 23.02.2016 23:59";"Tähtaeg ületatud";"";"Kogumispensionide seaduse ja investeerimisfondide seaduse muutmise seaduse eelnõu väljatöötamise kavatsus";"https://eelnoud.valitsus.ee/main/mount/docList/ae8d83e0-6314-4438-a50e-c2e8123d0107?activity=2"
"Majandus- ja Kommunikatsiooniministeerium";"Tähtaeg: 23.02.2016 23:59";"Tähtaeg ületatud";"";"Kogumispensionide seaduse ja investeerimisfondide seaduse muutmise seaduse eelnõu väljatöötamise kavatsus";"https://eelnoud.valitsus.ee/main/mount/docList/ae8d83e0-6314-4438-a50e-c2e8123d0107?activity=2"
"Eesti Pank";"Tähtaeg: 23.02.2016 23:59";"Vastatud: 19.02.2016 17:40";"
Ava16-0046/0219.02.2016 17:40Kogumispensionide seaduse ja investeerimisfondide seaduse muutmise seaduse eelnõu väljatöötamise kavatsusFaili nimetusPealkiriKeeleversioonLisamise aegSuurus
0063-1_20160219_Rahandusministeerium__Arvamus_valjatootamise_kavatsuse_kohta.bdocEE19.02.2016 17:39247.88 kBVaata andmeid
arvamus väljatöötamise kavatsuse kohta( nr 17.1_63-1) .pdfAva PDF19.02.2016 17:39258.08 kBVaata andmeid
";"Kogumispensionide seaduse ja investeerimisfondide seaduse muutmise seaduse eelnõu väljatöötamise kavatsus";"https://eelnoud.valitsus.ee/main/mount/docList/ae8d83e0-6314-4438-a50e-c2e8123d0107?activity=2"
"Tähtaeg: 23.02.2016 23:59";"Ei ole esitatud";"";"Ava";"Kogumispensionide seaduse ja investeerimisfondide seaduse muutmise seaduse eelnõu väljatöötamise kavatsus";"https://eelnoud.valitsus.ee/main/mount/docList/ae8d83e0-6314-4438-a50e-c2e8123d0107?activity=2"
"Haridus- ja Teadusministeerium";"Tähtaeg: 03.05.2016 23:59";"Tähtaeg ületatud";"";"Vabariigi Valitsuse 18. märtsi 2005. aasta määruse nr 61 „Isikunime andmisel ja kohaldamisel kasutatavate eesti-ladina tähtede ja sümbolite loetelu ning võõrkeelsete isikunimede ümberkirjutusreeglid“ muutmine";"https://eelnoud.valitsus.ee/main/mount/docList/d8a3024a-a257-45dd-b90c-303b45c550bd?activity=1"
"Kaitseministeerium";"Tähtaeg: 03.05.2016 23:59";"Tähtaeg ületatud";"";"Vabariigi Valitsuse 18. märtsi 2005. aasta määruse nr 61 „Isikunime andmisel ja kohaldamisel kasutatavate eesti-ladina tähtede ja sümbolite loetelu ning võõrkeelsete isikunimede ümberkirjutusreeglid“ muutmine";"https://eelnoud.valitsus.ee/main/mount/docList/d8a3024a-a257-45dd-b90c-303b45c550bd?activity=1"
"Rahandusministeerium";"Tähtaeg: 03.05.2016 23:59";"Tähtaeg ületatud";"";"Vabariigi Valitsuse 18. märtsi 2005. aasta määruse nr 61 „Isikunime andmisel ja kohaldamisel kasutatavate eesti-ladina tähtede ja sümbolite loetelu ning võõrkeelsete isikunimede ümberkirjutusreeglid“ muutmine";"https://eelnoud.valitsus.ee/main/mount/docList/d8a3024a-a257-45dd-b90c-303b45c550bd?activity=1"
"Justiitsministeerium";"Tähtaeg: 03.05.2016 23:59";"Tähtaeg ületatud";"";"Vabariigi Valitsuse 18. märtsi 2005. aasta määruse nr 61 „Isikunime andmisel ja kohaldamisel kasutatavate eesti-ladina tähtede ja sümbolite loetelu ning võõrkeelsete isikunimede ümberkirjutusreeglid“ muutmine";"https://eelnoud.valitsus.ee/main/mount/docList/d8a3024a-a257-45dd-b90c-303b45c550bd?activity=1"
